facility,strain,Fraction Aligned To Target Genome,fastqc,plate,row,column,Fraction of Genome with >=0.75 Median Coverage
SAN,C3H,0.956360641,/data01/repository/do3640/do3640_unk_HCC_nodule_unk_C3HHeJC3H86770.0_SAN01p1.fq_fastqc.txt.gz,1,F,6,0.934615385
SAN,C3H,0.95465511,/data01/repository/do3640/do3640_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H86770.0_SAN05p1.fq_fastqc.txt.gz,1,F,7,0.942307692
SAN,C3H,0.953451925,/data01/repository/do3640/do3640_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H86770.0_SAN07p1.fq_fastqc.txt.gz,1,F,8,0.946153846
SAN,C3H,0.951886395,/data01/repository/do3640/do3640_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H86770.0_SAN06p1.fq_fastqc.txt.gz,1,F,9,0.938461538
SAN,C3H,0.954497353,/data01/repository/do3640/do3640_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H86770.0_SAN04p1.fq_fastqc.txt.gz,1,F,10,0.942307692
SAN,C3H,0.953410266,/data01/repository/do3640/do3640_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H86770.0_SAN10p1.fq_fastqc.txt.gz,1,F,11,0.942307692
SAN,C3H,0.953751385,/data01/repository/do3640/do3640_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H86770.0_SAN08p1.fq_fastqc.txt.gz,1,F,12,0.938461538
SAN,C3H,0.955445777,/data01/repository/do3641/do3641_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H87535.0_SAN04p1.fq_fastqc.txt.gz,1,G,1,0.938461538
SAN,C3H,0.95556237,/data01/repository/do3641/do3641_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H87535.0_SAN05p1.fq_fastqc.txt.gz,1,G,2,0.946153846
SAN,C3H,0.952966512,/data01/repository/do3641/do3641_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H87535.0_SAN06p1.fq_fastqc.txt.gz,1,G,3,0.942307692
SAN,C3H,0.957229465,/data01/repository/do3641/do3641_unk_HCC_nodule_unk_C3HHeJC3H87535.0_SAN01p1.fq_fastqc.txt.gz,1,G,4,0.930769231
SAN,C3H,0.953777423,/data01/repository/do3641/do3641_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H87535.0_SAN09p1.fq_fastqc.txt.gz,1,G,5,0.938461538
SAN,C3H,0.954404776,/data01/repository/do3641/do3641_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H87535.0_SAN10p1.fq_fastqc.txt.gz,1,G,6,0.942307692
SAN,C3H,0.954762783,/data01/repository/do3641/do3641_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H87535.0_SAN08p1.fq_fastqc.txt.gz,1,G,7,0.938461538
SAN,C3H,0.954435715,/data01/repository/do3641/do3641_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H87535.0_SAN07p1.fq_fastqc.txt.gz,1,G,8,0.938461538
SAN,C3H,0.953076526,/data01/repository/do3642/do3642_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H86769.0_SAN09p1.fq_fastqc.txt.gz,1,G,9,0.946153846
SAN,C3H,0.956463746,/data01/repository/do3642/do3642_unk_HCC_nodule_unk_C3HHeJC3H86769.0_SAN01p1.fq_fastqc.txt.gz,1,G,10,0.934615385
SAN,C3H,0.953971881,/data01/repository/do3642/do3642_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H86769.0_SAN10p1.fq_fastqc.txt.gz,1,G,11,0.938461538
SAN,C3H,0.955057025,/data01/repository/do3642/do3642_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H86769.0_SAN04p1.fq_fastqc.txt.gz,1,G,12,0.942307692
SAN,C3H,0.952418594,/data01/repository/do3642/do3642_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H86769.0_SAN06p1.fq_fastqc.txt.gz,1,H,1,0.942307692
SAN,C3H,0.954347214,/data01/repository/do3642/do3642_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H86769.0_SAN08p1.fq_fastqc.txt.gz,1,H,2,0.946153846
SAN,C3H,0.953874052,/data01/repository/do3642/do3642_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H86769.0_SAN07p1.fq_fastqc.txt.gz,1,H,3,0.938461538
SAN,C3H,0.955200286,/data01/repository/do3642/do3642_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H86769.0_SAN05p1.fq_fastqc.txt.gz,1,H,4,0.946153846
SAN,C3H,0.959209149,/data01/repository/do3643/do3643_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H89985.0_SAN06p1.fq_fastqc.txt.gz,1,H,5,0.938461538
SAN,C3H,0.960971849,/data01/repository/do3643/do3643_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H89985.0_SAN08p1.fq_fastqc.txt.gz,1,H,6,0.942307692
SAN,C3H,0.961288754,/data01/repository/do3643/do3643_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H89985.0_SAN04p1.fq_fastqc.txt.gz,1,H,7,0.946153846
SAN,C3H,0.963205077,/data01/repository/do3643/do3643_unk_HCC_nodule_unk_C3HHeJC3H89985.0_SAN01p1.fq_fastqc.txt.gz,1,H,8,0.938461538
SAN,C3H,0.96166916,/data01/repository/do3643/do3643_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H89985.0_SAN05p1.fq_fastqc.txt.gz,1,H,9,0.946153846
SAN,C3H,0.959743962,/data01/repository/do3643/do3643_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H89985.0_SAN09p1.fq_fastqc.txt.gz,1,H,10,0.946153846
